Epoch: 40 | Train Loss: 1.596335672813913 | Test Loss: 1.8259781035748157 | Train Accuracy: 0.12816505231287167 | Test Accuracy: 0.09768999863293144
Epoch: 41 | Train Loss: 1.5669163154519123 | Test Loss: 1.8377233337570023 | Train Accuracy: 0.13297993588544751 | Test Accuracy: 0.09814151589359556
Epoch: 42 | Train Loss: 1.5755734936050747 | Test Loss: 2.021495350114592 | Train Accuracy: 0.12684629387829616 | Test Accuracy: 0.07940271173368443
Epoch: 43 | Train Loss: 1.5412724873294001 | Test Loss: 1.9604728824489719 | Train Accuracy: 0.13525398844934028 | Test Accuracy: 0.09052819934683842
Epoch: 44 | Train Loss: 1.5341968160608541 | Test Loss: 1.943896934226319 | Train Accuracy: 0.13601166641582613 | Test Accuracy: 0.08642125281167555
Epoch: 45 | Train Loss: 1.5122286832850913 | Test Loss: 1.8957789232442668 | Train Accuracy: 0.14029488599170808 | Test Accuracy: 0.09073738684202289
Epoch: 46 | Train Loss: 1.5144368079693422 | Test Loss: 1.8095262273327335 | Train Accuracy: 0.13752251652919728 | Test Accuracy: 0.1055053174495697
Epoch: 47 | Train Loss: 1.4782234663548677 | Test Loss: 1.7917431304743001 | Train Accuracy: 0.14583949436960014 | Test Accuracy: 0.09820049518084788
Epoch: 48 | Train Loss: 1.4816452951534935 | Test Loss: 1.9242709560708686 | Train Accuracy: 0.1431736451290224 | Test Accuracy: 0.09682055783795786
Epoch: 49 | Train Loss: 1.4744852586932804 | Test Loss: 1.8027103942829175 | Train Accuracy: 0.14332852982308553 | Test Accuracy: 0.10865301294968678
Epoch: 50 | Train Loss: 1.4196032732725143 | Test Loss: 1.789142368914007 | Train Accuracy: 0.15766698563390452 | Test Accuracy: 0.10477603042682448
Epoch: 51 | Train Loss: 1.4323768084463866 | Test Loss: 1.7549822671072823 | Train Accuracy: 0.1503261423305325 | Test Accuracy: 0.11431807435148365
Epoch: 52 | Train Loss: 1.4239660333032194 | Test Loss: 1.7348937464284373 | Train Accuracy: 0.1513263066501721 | Test Accuracy: 0.11362563822786886
Epoch: 53 | Train Loss: 1.422470388205155 | Test Loss: 2.1364276081651123 | Train Accuracy: 0.15099610072439132 | Test Accuracy: 0.07638121183429446
Epoch: 54 | Train Loss: 1.3853163822837498 | Test Loss: 1.7076541656976219 | Train Accuracy: 0.155585839210645 | Test Accuracy: 0.11666727106977295
Epoch: 55 | Train Loss: 1.3461253805005031 | Test Loss: 1.7719190395795381 | Train Accuracy: 0.16419777282230233 | Test Accuracy: 0.10771768314989058
Epoch: 56 | Train Loss: 1.3691867771356 | Test Loss: 2.015517389381325 | Train Accuracy: 0.158690316359634 | Test Accuracy: 0.09379659855103754
Epoch: 57 | Train Loss: 1.321611973254577 | Test Loss: 1.8810137863997574 | Train Accuracy: 0.16405509282713351 | Test Accuracy: 0.1055323390679045
Epoch: 58 | Train Loss: 1.3189910818701205 | Test Loss: 1.7292729904363444 | Train Accuracy: 0.16858451562407223 | Test Accuracy: 0.10961511420024621
Epoch: 59 | Train Loss: 1.3238279845403589 | Test Loss: 1.8768035697413015 | Train Accuracy: 0.1677482247190631 | Test Accuracy: 0.09504147696789804
Epoch: 60 | Train Loss: 1.2786056496526883 | Test Loss: 1.8895334005355835 | Train Accuracy: 0.17238995902564214 | Test Accuracy: 0.11036115016911056
Epoch: 61 | Train Loss: 1.268115991483564 | Test Loss: 1.838346614942446 | Train Accuracy: 0.17633009224158266 | Test Accuracy: 0.11773717485286378
Epoch: 62 | Train Loss: 1.299731040130491 | Test Loss: 1.8057858184143738 | Train Accuracy: 0.16922707410286303 | Test Accuracy: 0.115184565699035
Epoch: 63 | Train Loss: 1.2200006317833196 | Test Loss: 1.8076921504932446 | Train Accuracy: 0.18247031104629455 | Test Accuracy: 0.11215588503650256
Epoch: 64 | Train Loss: 1.2304878409789957 | Test Loss: 1.7382721494842361 | Train Accuracy: 0.18031587621763998 | Test Accuracy: 0.1217239135159896
Epoch: 65 | Train Loss: 1.234152815912081 | Test Loss: 2.030052770625104 | Train Accuracy: 0.1818456441649924 | Test Accuracy: 0.09626370746192041
Epoch: 66 | Train Loss: 1.1895267749610154 | Test Loss: 1.7706919607225355 | Train Accuracy: 0.1869502487875845 | Test Accuracy: 0.11962363500516493
Epoch: 67 | Train Loss: 1.1663953234320101 | Test Loss: 1.8180597431057102 | Train Accuracy: 0.19189855504942976 | Test Accuracy: 0.11712761292909528
Epoch: 68 | Train Loss: 1.1890328332133915 | Test Loss: 1.754394185412061 | Train Accuracy: 0.19187961802210496 | Test Accuracy: 0.12473097578673573
Epoch: 69 | Train Loss: 1.1433751369300096 | Test Loss: 1.7408590565670978 | Train Accuracy: 0.19486023550448212 | Test Accuracy: 0.11736491928388784
Epoch: 70 | Train Loss: 1.1580327464186626 | Test Loss: 1.7673609610442276 | Train Accuracy: 0.1923126932233572 | Test Accuracy: 0.11922442110685202
Epoch: 71 | Train Loss: 1.130080785440362 | Test Loss: 1.827812841960362 | Train Accuracy: 0.19448081930370434 | Test Accuracy: 0.11643396960673752
Epoch: 72 | Train Loss: 1.0826892807431843 | Test Loss: 1.8375671970975267 | Train Accuracy: 0.20278228058115297 | Test Accuracy: 0.11759285137548552
Epoch: 73 | Train Loss: 1.1022486641355183 | Test Loss: 1.8109035609842656 | Train Accuracy: 0.19805660114988036 | Test Accuracy: 0.11839741104087986
Epoch: 74 | Train Loss: 1.086535169378571 | Test Loss: 1.8280025864695455 | Train Accuracy: 0.20269757339163966 | Test Accuracy: 0.11276796165403428
Epoch: 75 | Train Loss: 1.1026629520499187 | Test Loss: 1.8405544744743096 | Train Accuracy: 0.19887364720520767 | Test Accuracy: 0.11599032400728582
Epoch: 76 | Train Loss: 1.077300973560499 | Test Loss: 1.757696079683828 | Train Accuracy: 0.20492726021810717 | Test Accuracy: 0.1251494276163342
Epoch: 77 | Train Loss: 1.0539301640313605 | Test Loss: 1.7486155452309073 | Train Accuracy: 0.21019898905702258 | Test Accuracy: 0.12730207793660217
Epoch: 78 | Train Loss: 1.0558694043885106 | Test Loss: 1.7853513340373615 | Train Accuracy: 0.20709179325596147 | Test Accuracy: 0.12800153361244515
Epoch: 79 | Train Loss: 1.019034465369971 | Test Loss: 1.9133457561115643 | Train Accuracy: 0.21302382866649525 | Test Accuracy: 0.11909873750838605
Epoch: 80 | Train Loss: 1.0207584979741469 | Test Loss: 1.8788693986096225 | Train Accuracy: 0.21337371708258338 | Test Accuracy: 0.1067862025984041
Epoch: 81 | Train Loss: 1.0104648924392203 | Test Loss: 1.880094384099101 | Train Accuracy: 0.21005834736253903 | Test Accuracy: 0.11849485042985979
Epoch: 82 | Train Loss: 1.0323164119668629 | Test Loss: 1.7470022243457837 | Train Accuracy: 0.20589790938665037 | Test Accuracy: 0.12988440242114957
Epoch: 83 | Train Loss: 0.9636038904604705 | Test Loss: 2.013896976198469 | Train Accuracy: 0.22664668346228806 | Test Accuracy: 0.11281470094735806
Epoch: 84 | Train Loss: 0.9577538546012796 | Test Loss: 1.781029495564136 | Train Accuracy: 0.22501573136643224 | Test Accuracy: 0.12155177914998033
Epoch: 85 | Train Loss: 0.9771779529426409 | Test Loss: 1.8954695057082962 | Train Accuracy: 0.22052386832302032 | Test Accuracy: 0.12383054950080075
Epoch: 86 | Train Loss: 0.958588495850563 | Test Loss: 1.9447015471510836 | Train Accuracy: 0.22271707953642245 | Test Accuracy: 0.12149084629593315
Epoch: 87 | Train Loss: 0.9162597617377406 | Test Loss: 1.808825834766849 | Train Accuracy: 0.2370850858481034 | Test Accuracy: 0.12279635086491868
Epoch: 88 | Train Loss: 0.9396352955828542 | Test Loss: 2.0472150425334554 | Train Accuracy: 0.22689029542000397 | Test Accuracy: 0.10881437909799618
Epoch: 89 | Train Loss: 0.8939348219529443 | Test Loss: 2.0038884026663646 | Train Accuracy: 0.23919856661687727 | Test Accuracy: 0.11569472140335775
Epoch: 90 | Train Loss: 0.9098162417826445 | Test Loss: 1.9843647244212392 | Train Accuracy: 0.23549190617125967 | Test Accuracy: 0.12301334075547837
Epoch: 91 | Train Loss: 0.9129900290914204 | Test Loss: 1.882226750090882 | Train Accuracy: 0.23373186296742895 | Test Accuracy: 0.1318205043591641
